FECHA,DELITO,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,MODALIDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ATLÁNTICO,Tubará,RURAL,MIERCOLES,20:30,EMPLEO DE SUSTANCIAS TOXICAS,FEMENINO,A PIE,A PIE,ESCOPOLAMINA,AMA DE CASA,U-LIBRE,TROCHA,1
1-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,PUTUMAYO,Puerto Leguízamo,RURAL,MIERCOLES,18:30,AGRESION,FEMENINO,MOTO,MOTO,CONTUNDENTES,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,HUILA,Garzón,URBANA,MIERCOLES,8:00,ENGAÑO,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),HUILA,Elías,RURAL,MIERCOLES,0:00,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTA,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,BOYACÁ,Sogamoso,URBANA,MIERCOLES,17:30,ENGAÑO,MASCULINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,SANTANDER,Bucaramanga ,URBANA,MIERCOLES,1:00,AGRESION,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,NARIÑO,Túquerres,URBANA,MIERCOLES,0:00,AGRESION,FEMENINO,A PIE,A PIE,CONTUNDENTES,DESEMPLEADO,SOLTERO,OFICINAS,1
1-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SAN ANDRÉS,San Andrés ,URBANA,MIERCOLES,15:17,AGRESION,FEMENINO,A PIE,A PIE,CONTUNDENTES,EMPLEADO PARTICULAR,SOLTERO,DENTRO DE LA VIVIENDA,1
1-Jan-14,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,META,Acacías,URBANA,MIERCOLES,10:40,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTA,EMPLEADO PUBLICO,U-LIBRE,DENTRO DE LA VIVIENDA,1
1-Jan-14,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CUNDINAMARCA,Bogotá D.C. ,URBANA,MIERCOLES,13:30,AGRESION,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
